type,id,url,twitterUrl,text,source,retweetCount,replyCount,likeCount,quoteCount,viewCount,createdAt,lang,bookmarkCount,isReply,inReplyToId,conversationId,displayTextRange,inReplyToUserId,inReplyToUsername,author,extendedEntities,card,place,entities,quoted_tweet,retweeted_tweet,article
tweet,601559388038402048,https://x.com/CHP_Truckee/status/601559388038402048,https://twitter.com/CHP_Truckee/status/601559388038402048,"Traffic update:

I-80 eastbound, east of boreal is closed at this time due to a tractor trailer that overturned... http://t.co/Jjv1IlvrFZ",Twitter for iPhone,0,0,0,0,0,Fri May 22 01:25:09 +0000 2015,en,0,False,,601559388038402048,"[0, 137]",,,"{'type': 'user', 'userName': 'CHP_Truckee', 'url': 'https://x.com/CHP_Truckee', 'twitterUrl': 'https://twitter.com/CHP_Truckee', 'id': '2903875898', 'name': 'CHP Truckee', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1999223138593492992/PwOFDL8v_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/2903875898/1742257156', 'description': 'Official California Highway Patrol Truckee Twitter Account', 'location': 'Truckee, CA', 'followers': 33509, 'following': 41, 'status': '', 'canDm': False, 'canMediaTag': False, 'createdAt': 'Tue Nov 18 18:20:19 +0000 2014', 'entities': {'description': {'urls': []}, 'url': {'urls': [{'display_url': 'CHP.CA.GOV', 'expanded_url': 'http://CHP.CA.GOV', 'indices': [0, 23], 'url': 'https://t.co/Y8KPYKCpth'}]}}, 'fastFollowersCount': 0, 'favouritesCount': 113, 'hasCustomTimelines': False, 'isTranslator': False, 'mediaCount': 1409, 'statusesCount': 4395, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [{'display_url': 'fb.me/3deNv65hr', 'expanded_url': 'http://fb.me/3deNv65hr', 'indices': [115, 137], 'url': 'http://t.co/Jjv1IlvrFZ'}], 'user_mentions': []}",,,
tweet,601175772728963072,https://x.com/CHP_Truckee/status/601175772728963072,https://twitter.com/CHP_Truckee/status/601175772728963072,"Traffic Update:

All lanes of I-80 westbound, at Donner Lake Interchange are reopened.  Drive safe.",Twitter for iPhone,1,0,0,0,0,Thu May 21 00:00:48 +0000 2015,en,0,False,,601175772728963072,"[0, 99]",,,"{'type': 'user', 'userName': 'CHP_Truckee', 'url': 'https://x.com/CHP_Truckee', 'twitterUrl': 'https://twitter.com/CHP_Truckee', 'id': '2903875898', 'name': 'CHP Truckee', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1999223138593492992/PwOFDL8v_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/2903875898/1742257156', 'description': 'Official California Highway Patrol Truckee Twitter Account', 'location': 'Truckee, CA', 'followers': 33509, 'following': 41, 'status': '', 'canDm': False, 'canMediaTag': False, 'createdAt': 'Tue Nov 18 18:20:19 +0000 2014', 'entities': {'description': {'urls': []}, 'url': {'urls': [{'display_url': 'CHP.CA.GOV', 'expanded_url': 'http://CHP.CA.GOV', 'indices': [0, 23], 'url': 'https://t.co/Y8KPYKCpth'}]}}, 'fastFollowersCount': 0, 'favouritesCount': 113, 'hasCustomTimelines': False, 'isTranslator': False, 'mediaCount': 1409, 'statusesCount': 4395, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [], 'user_mentions': []}",,,
tweet,600129019384713216,https://x.com/CHP_Truckee/status/600129019384713216,https://twitter.com/CHP_Truckee/status/600129019384713216,"Traffic Update:

I-80 westbound reopened at this time. 

Drive safe.",Twitter for iPhone,4,0,2,0,0,Mon May 18 02:41:22 +0000 2015,en,0,False,,600129019384713216,"[0, 68]",,,"{'type': 'user', 'userName': 'CHP_Truckee', 'url': 'https://x.com/CHP_Truckee', 'twitterUrl': 'https://twitter.com/CHP_Truckee', 'id': '2903875898', 'name': 'CHP Truckee', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1999223138593492992/PwOFDL8v_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/2903875898/1742257156', 'description': 'Official California Highway Patrol Truckee Twitter Account', 'location': 'Truckee, CA', 'followers': 33509, 'following': 41, 'status': '', 'canDm': False, 'canMediaTag': False, 'createdAt': 'Tue Nov 18 18:20:19 +0000 2014', 'entities': {'description': {'urls': []}, 'url': {'urls': [{'display_url': 'CHP.CA.GOV', 'expanded_url': 'http://CHP.CA.GOV', 'indices': [0, 23], 'url': 'https://t.co/Y8KPYKCpth'}]}}, 'fastFollowersCount': 0, 'favouritesCount': 113, 'hasCustomTimelines': False, 'isTranslator': False, 'mediaCount': 1409, 'statusesCount': 4395, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [], 'user_mentions': []}",,,
tweet,600117452005978113,https://x.com/CHP_Truckee/status/600117452005978113,https://twitter.com/CHP_Truckee/status/600117452005978113,"Westbound I-80 is currently closed at Donner Lake Interchange, due to 5 different collisions as a result of a... http://t.co/6j91AEK4bo",Twitter for iPhone,3,1,1,0,0,Mon May 18 01:55:24 +0000 2015,en,0,False,,600117452005978113,"[0, 135]",,,"{'type': 'user', 'userName': 'CHP_Truckee', 'url': 'https://x.com/CHP_Truckee', 'twitterUrl': 'https://twitter.com/CHP_Truckee', 'id': '2903875898', 'name': 'CHP Truckee', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1999223138593492992/PwOFDL8v_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/2903875898/1742257156', 'description': 'Official California Highway Patrol Truckee Twitter Account', 'location': 'Truckee, CA', 'followers': 33509, 'following': 41, 'status': '', 'canDm': False, 'canMediaTag': False, 'createdAt': 'Tue Nov 18 18:20:19 +0000 2014', 'entities': {'description': {'urls': []}, 'url': {'urls': [{'display_url': 'CHP.CA.GOV', 'expanded_url': 'http://CHP.CA.GOV', 'indices': [0, 23], 'url': 'https://t.co/Y8KPYKCpth'}]}}, 'fastFollowersCount': 0, 'favouritesCount': 113, 'hasCustomTimelines': False, 'isTranslator': False, 'mediaCount': 1409, 'statusesCount': 4395, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [{'display_url': 'fb.me/4kiTRSUQT', 'expanded_url': 'http://fb.me/4kiTRSUQT', 'indices': [113, 135], 'url': 'http://t.co/6j91AEK4bo'}], 'user_mentions': []}",,,
tweet,612042938021888000,https://x.com/CHP_Truckee/status/612042938021888000,https://twitter.com/CHP_Truckee/status/612042938021888000,"Traffic update:

All lanes of I-80 eastbound have been reopened. 

Drive safely as traffic is still heavy.",Twitter for iPhone,0,0,0,0,0,Fri Jun 19 23:43:02 +0000 2015,en,0,False,,612042938021888000,"[0, 106]",,,"{'type': 'user', 'userName': 'CHP_Truckee', 'url': 'https://x.com/CHP_Truckee', 'twitterUrl': 'https://twitter.com/CHP_Truckee', 'id': '2903875898', 'name': 'CHP Truckee', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1999223138593492992/PwOFDL8v_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/2903875898/1742257156', 'description': 'Official California Highway Patrol Truckee Twitter Account', 'location': 'Truckee, CA', 'followers': 33509, 'following': 41, 'status': '', 'canDm': False, 'canMediaTag': False, 'createdAt': 'Tue Nov 18 18:20:19 +0000 2014', 'entities': {'description': {'urls': []}, 'url': {'urls': [{'display_url': 'CHP.CA.GOV', 'expanded_url': 'http://CHP.CA.GOV', 'indices': [0, 23], 'url': 'https://t.co/Y8KPYKCpth'}]}}, 'fastFollowersCount': 0, 'favouritesCount': 113, 'hasCustomTimelines': False, 'isTranslator': False, 'mediaCount': 1409, 'statusesCount': 4395, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [], 'user_mentions': []}",,,
tweet,615570687080554496,https://x.com/CHP_Truckee/status/615570687080554496,https://twitter.com/CHP_Truckee/status/615570687080554496,"Traffic Update:

The on and off Ramps from Donner Pass Road to I-80 eastbound are both still currently closed,... http://t.co/mvr94vIqu2",Twitter for iPhone,0,0,0,0,0,Mon Jun 29 17:21:03 +0000 2015,en,0,False,,615570687080554496,"[0, 136]",,,"{'type': 'user', 'userName': 'CHP_Truckee', 'url': 'https://x.com/CHP_Truckee', 'twitterUrl': 'https://twitter.com/CHP_Truckee', 'id': '2903875898', 'name': 'CHP Truckee', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1999223138593492992/PwOFDL8v_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/2903875898/1742257156', 'description': 'Official California Highway Patrol Truckee Twitter Account', 'location': 'Truckee, CA', 'followers': 33509, 'following': 41, 'status': '', 'canDm': False, 'canMediaTag': False, 'createdAt': 'Tue Nov 18 18:20:19 +0000 2014', 'entities': {'description': {'urls': []}, 'url': {'urls': [{'display_url': 'CHP.CA.GOV', 'expanded_url': 'http://CHP.CA.GOV', 'indices': [0, 23], 'url': 'https://t.co/Y8KPYKCpth'}]}}, 'fastFollowersCount': 0, 'favouritesCount': 113, 'hasCustomTimelines': False, 'isTranslator': False, 'mediaCount': 1409, 'statusesCount': 4395, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [{'display_url': 'fb.me/29ICfmBV5', 'expanded_url': 'http://fb.me/29ICfmBV5', 'indices': [114, 136], 'url': 'http://t.co/mvr94vIqu2'}], 'user_mentions': []}",,,
tweet,629830159680450561,https://x.com/CHP_Truckee/status/629830159680450561,https://twitter.com/CHP_Truckee/status/629830159680450561,"Traffic Alert:

I-80 eastbound, easy of boreal is closed for a tractor trailer that has rolled over. 

At this... http://t.co/0M244mc0gZ",Twitter for iPhone,5,0,0,0,0,Sat Aug 08 01:43:06 +0000 2015,en,0,False,,629830159680450561,"[0, 136]",,,"{'type': 'user', 'userName': 'CHP_Truckee', 'url': 'https://x.com/CHP_Truckee', 'twitterUrl': 'https://twitter.com/CHP_Truckee', 'id': '2903875898', 'name': 'CHP Truckee', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1999223138593492992/PwOFDL8v_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/2903875898/1742257156', 'description': 'Official California Highway Patrol Truckee Twitter Account', 'location': 'Truckee, CA', 'followers': 33509, 'following': 41, 'status': '', 'canDm': False, 'canMediaTag': False, 'createdAt': 'Tue Nov 18 18:20:19 +0000 2014', 'entities': {'description': {'urls': []}, 'url': {'urls': [{'display_url': 'CHP.CA.GOV', 'expanded_url': 'http://CHP.CA.GOV', 'indices': [0, 23], 'url': 'https://t.co/Y8KPYKCpth'}]}}, 'fastFollowersCount': 0, 'favouritesCount': 113, 'hasCustomTimelines': False, 'isTranslator': False, 'mediaCount': 1409, 'statusesCount': 4395, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [{'display_url': 'fb.me/1Md7tGLiT', 'expanded_url': 'http://fb.me/1Md7tGLiT', 'indices': [114, 136], 'url': 'http://t.co/0M244mc0gZ'}], 'user_mentions': []}",,,
tweet,655447466192576512,https://x.com/CHP_Truckee/status/655447466192576512,https://twitter.com/CHP_Truckee/status/655447466192576512,"Traffic Update:

I-80 eastbound, east of Castle Peak has been completely reopened. 

Use caution in the area as... http://t.co/VnHyRbQQ61",Twitter for iPhone,0,0,1,0,0,Sat Oct 17 18:17:08 +0000 2015,en,0,False,,655447466192576512,"[0, 137]",,,"{'type': 'user', 'userName': 'CHP_Truckee', 'url': 'https://x.com/CHP_Truckee', 'twitterUrl': 'https://twitter.com/CHP_Truckee', 'id': '2903875898', 'name': 'CHP Truckee', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1999223138593492992/PwOFDL8v_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/2903875898/1742257156', 'description': 'Official California Highway Patrol Truckee Twitter Account', 'location': 'Truckee, CA', 'followers': 33509, 'following': 41, 'status': '', 'canDm': False, 'canMediaTag': False, 'createdAt': 'Tue Nov 18 18:20:19 +0000 2014', 'entities': {'description': {'urls': []}, 'url': {'urls': [{'display_url': 'CHP.CA.GOV', 'expanded_url': 'http://CHP.CA.GOV', 'indices': [0, 23], 'url': 'https://t.co/Y8KPYKCpth'}]}}, 'fastFollowersCount': 0, 'favouritesCount': 113, 'hasCustomTimelines': False, 'isTranslator': False, 'mediaCount': 1409, 'statusesCount': 4395, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [{'display_url': 'fb.me/KG2C76El', 'expanded_url': 'http://fb.me/KG2C76El', 'indices': [115, 137], 'url': 'http://t.co/VnHyRbQQ61'}], 'user_mentions': []}",,,
tweet,655422692678459393,https://x.com/CHP_Truckee/status/655422692678459393,https://twitter.com/CHP_Truckee/status/655422692678459393,"Traffic Update:

We just reopened The right lane of I-80 eastbound, east of Castle Peak. 

Drive safe as crews... http://t.co/D4NRni6lrz",Twitter for iPhone,0,0,0,0,0,Sat Oct 17 16:38:41 +0000 2015,en,0,False,,655422692678459393,"[0, 136]",,,"{'type': 'user', 'userName': 'CHP_Truckee', 'url': 'https://x.com/CHP_Truckee', 'twitterUrl': 'https://twitter.com/CHP_Truckee', 'id': '2903875898', 'name': 'CHP Truckee', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1999223138593492992/PwOFDL8v_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/2903875898/1742257156', 'description': 'Official California Highway Patrol Truckee Twitter Account', 'location': 'Truckee, CA', 'followers': 33509, 'following': 41, 'status': '', 'canDm': False, 'canMediaTag': False, 'createdAt': 'Tue Nov 18 18:20:19 +0000 2014', 'entities': {'description': {'urls': []}, 'url': {'urls': [{'display_url': 'CHP.CA.GOV', 'expanded_url': 'http://CHP.CA.GOV', 'indices': [0, 23], 'url': 'https://t.co/Y8KPYKCpth'}]}}, 'fastFollowersCount': 0, 'favouritesCount': 113, 'hasCustomTimelines': False, 'isTranslator': False, 'mediaCount': 1409, 'statusesCount': 4395, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [{'display_url': 'fb.me/298WhNOmU', 'expanded_url': 'http://fb.me/298WhNOmU', 'indices': [114, 136], 'url': 'http://t.co/D4NRni6lrz'}], 'user_mentions': []}",,,
tweet,655400852371304448,https://x.com/CHP_Truckee/status/655400852371304448,https://twitter.com/CHP_Truckee/status/655400852371304448,"Traffic Alert:

I-80 eastbound, just east of Castle Peak is closed at this hour due to a minor injury accident... http://t.co/PaM36jOF6R",Twitter for iPhone,1,0,0,0,0,Sat Oct 17 15:11:54 +0000 2015,en,0,False,,655400852371304448,"[0, 136]",,,"{'type': 'user', 'userName': 'CHP_Truckee', 'url': 'https://x.com/CHP_Truckee', 'twitterUrl': 'https://twitter.com/CHP_Truckee', 'id': '2903875898', 'name': 'CHP Truckee', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1999223138593492992/PwOFDL8v_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/2903875898/1742257156', 'description': 'Official California Highway Patrol Truckee Twitter Account', 'location': 'Truckee, CA', 'followers': 33509, 'following': 41, 'status': '', 'canDm': False, 'canMediaTag': False, 'createdAt': 'Tue Nov 18 18:20:19 +0000 2014', 'entities': {'description': {'urls': []}, 'url': {'urls': [{'display_url': 'CHP.CA.GOV', 'expanded_url': 'http://CHP.CA.GOV', 'indices': [0, 23], 'url': 'https://t.co/Y8KPYKCpth'}]}}, 'fastFollowersCount': 0, 'favouritesCount': 113, 'hasCustomTimelines': False, 'isTranslator': False, 'mediaCount': 1409, 'statusesCount': 4395, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [{'display_url': 'fb.me/6Np1dA4Vw', 'expanded_url': 'http://fb.me/6Np1dA4Vw', 'indices': [114, 136], 'url': 'http://t.co/PaM36jOF6R'}], 'user_mentions': []}",,,
