Station,closure_date,start_time,end_time,duration_minutes,n_intervals,mean_flow,mean_speed,max_occupancy,multi_station_event
316249,2013-01-01,2013-01-01 02:10:00,2013-01-01 04:45:00,160.0,17,3.3529411764705883,67.0529411764706,0.0026,True
316261,2013-01-01,2013-01-01 01:30:00,2013-01-01 04:50:00,205.0,41,3.292682926829268,66.00243902439024,0.0077,True
317791,2013-01-01,2013-01-01 01:35:00,2013-01-01 04:15:00,165.0,33,3.8181818181818183,64.58181818181818,0.003,True
316249,2013-01-02,2013-01-02 00:40:00,2013-01-02 04:10:00,215.0,27,4.111111111111111,65.69259259259259,0.0054,True
316261,2013-01-02,2013-01-02 00:40:00,2013-01-02 04:10:00,215.0,35,3.8285714285714287,64.79714285714286,0.0106,True
317791,2013-01-02,2013-01-02 00:35:00,2013-01-02 04:15:00,225.0,45,3.4,64.93777777777777,0.0034,True
316261,2013-01-03,2013-01-03 02:25:00,2013-01-03 04:05:00,105.0,4,3.5,63.449999999999996,0.0076,True
317791,2013-01-03,2013-01-03 00:50:00,2013-01-03 04:10:00,205.0,41,3.4878048780487805,63.9219512195122,0.0031,True
316249,2013-01-04,2013-01-04 01:20:00,2013-01-04 01:20:00,5.0,1,4.0,62.1,0.0022,True
316261,2013-01-04,2013-01-04 01:15:00,2013-01-04 02:35:00,85.0,3,3.3333333333333335,65.39999999999999,0.0056,True
317791,2013-01-04,2013-01-04 01:05:00,2013-01-04 04:05:00,185.0,37,3.5945945945945947,64.22972972972973,0.0027,True
316249,2013-01-05,2013-01-05 04:10:00,2013-01-05 04:10:00,5.0,1,4.0,64.1,0.0008,True
316261,2013-01-05,2013-01-05 02:10:00,2013-01-05 03:20:00,75.0,3,3.0,63.03333333333333,0.0052,True
317791,2013-01-05,2013-01-05 02:10:00,2013-01-05 05:00:00,175.0,34,3.9411764705882355,64.70588235294117,0.0029,True
316249,2013-01-06,2013-01-06 01:50:00,2013-01-06 06:00:00,255.0,44,3.0681818181818183,68.42045454545455,0.0021,True
316261,2013-01-06,2013-01-06 00:30:00,2013-01-06 06:05:00,340.0,57,2.9298245614035086,66.79298245614035,0.0072,True
317791,2013-01-06,2013-01-06 01:40:00,2013-01-06 05:40:00,245.0,49,3.4693877551020407,65.34897959183674,0.0029,True
316249,2013-01-07,2013-01-07 00:30:00,2013-01-07 04:10:00,225.0,14,4.214285714285714,66.27857142857142,0.0024,True
316261,2013-01-07,2013-01-07 00:25:00,2013-01-07 04:10:00,230.0,34,3.8529411764705883,65.87941176470588,0.0115,True
317791,2013-01-07,2013-01-07 00:25:00,2013-01-07 04:10:00,230.0,46,3.3260869565217392,65.42608695652174,0.0032,True
316249,2013-01-08,2013-01-08 01:35:00,2013-01-08 03:25:00,115.0,5,3.6,64.54,0.0034,True
316261,2013-01-08,2013-01-08 01:30:00,2013-01-08 03:40:00,135.0,9,4.222222222222222,60.41111111111112,0.01,True
317791,2013-01-08,2013-01-08 01:30:00,2013-01-08 04:15:00,170.0,34,3.8529411764705883,64.56470588235294,0.003,True
316249,2013-01-09,2013-01-09 01:30:00,2013-01-09 01:50:00,25.0,5,4.8,66.44,0.0042,True
316261,2013-01-09,2013-01-09 00:35:00,2013-01-09 02:45:00,135.0,10,3.6,63.15,0.0072,True
317791,2013-01-09,2013-01-09 00:35:00,2013-01-09 04:15:00,225.0,45,3.4,64.93777777777777,0.0034,True
316249,2013-01-10,2013-01-10 00:45:00,2013-01-10 05:40:00,300.0,57,2.736842105263158,70.13508771929824,0.0017,True
316261,2013-01-10,2013-01-10 00:40:00,2013-01-10 04:05:00,210.0,26,3.769230769230769,65.6076923076923,0.0124,True
317791,2013-01-10,2013-01-10 00:40:00,2013-01-10 04:10:00,215.0,43,3.558139534883721,63.92558139534884,0.0031,True
314000,2013-01-11,2013-01-11 01:00:00,2013-01-11 03:55:00,180.0,36,3.4722222222222223,64.75555555555555,0.0027,True
316249,2013-01-11,2013-01-11 02:15:00,2013-01-11 02:15:00,5.0,1,5.0,64.3,0.0031,True
316261,2013-01-11,2013-01-11 02:20:00,2013-01-11 04:00:00,105.0,2,2.5,62.65,0.0062,True
317791,2013-01-11,2013-01-11 01:00:00,2013-01-11 04:05:00,190.0,38,3.6052631578947367,64.2578947368421,0.0027,True
317797,2013-01-11,2013-01-11 01:00:00,2013-01-11 03:55:00,180.0,36,3.5555555555555554,64.29444444444444,0.0027,True
316249,2013-01-12,2013-01-12 02:50:00,2013-01-12 04:40:00,115.0,3,4.0,63.56666666666666,0.003,True
316261,2013-01-12,2013-01-12 02:10:00,2013-01-12 05:05:00,180.0,13,4.153846153846154,64.37692307692308,0.0115,True
317791,2013-01-12,2013-01-12 02:10:00,2013-01-12 05:00:00,175.0,34,3.9411764705882355,64.70588235294117,0.0029,True
316249,2013-01-13,2013-01-13 01:30:00,2013-01-13 05:05:00,220.0,38,2.6842105263157894,66.73421052631579,0.0034,True
316261,2013-01-13,2013-01-13 01:30:00,2013-01-13 06:10:00,285.0,51,2.3529411764705883,66.28235294117647,0.0069,True
317791,2013-01-13,2013-01-13 01:30:00,2013-01-13 05:40:00,255.0,51,3.5294117647058822,65.3313725490196,0.0029,True
316249,2013-01-14,2013-01-14 00:25:00,2013-01-14 03:55:00,215.0,18,4.0,66.14444444444445,0.0053,True
316261,2013-01-14,2013-01-14 00:20:00,2013-01-14 04:15:00,240.0,33,3.5454545454545454,64.94242424242424,0.0123,True
