event_id,closure_end,closure_start,source_record_count,has_reopening_time,last_closure_report,duration_status,duration_hours
I80-0001,2017-02-22 05:25:00+00:00,2017-02-22 02:56:34+00:00,1,True,,observed,2.473888888888889
I80-0002,,2017-02-22 05:25:26+00:00,3,False,2017-02-22 07:17:22+00:00,right_censored,
I80-0003,,2017-02-22 21:10:52+00:00,1,False,2017-02-22 21:10:52+00:00,right_censored,
I80-0004,,2017-03-04 00:57:16+00:00,1,False,2017-03-04 00:57:16+00:00,right_censored,
I80-0005,2017-03-05 22:27:00+00:00,2017-03-05 06:52:06+00:00,4,True,,observed,15.581666666666667
I80-0006,2017-03-06 22:03:00+00:00,2017-03-06 12:56:30+00:00,2,True,,observed,9.108333333333333
I80-0007,,2017-03-06 22:03:17+00:00,1,False,2017-03-06 22:03:17+00:00,right_censored,
I80-0008,,2017-03-10 21:28:11+00:00,1,False,2017-03-10 21:28:11+00:00,right_censored,
I80-0009,2017-03-24 22:51:00+00:00,2017-03-24 21:34:50+00:00,1,True,,observed,1.2694444444444444
I80-0010,2017-04-13 22:38:00+00:00,2017-04-13 21:28:55+00:00,1,True,,observed,1.1513888888888888
I80-0011,2017-04-14 13:36:00+00:00,2017-04-14 03:56:19+00:00,1,True,,observed,9.661388888888888
I80-0012,,2017-05-01 14:49:21+00:00,2,False,2017-05-01 17:38:26+00:00,right_censored,
I80-0013,,2017-05-11 18:18:31+00:00,1,False,2017-05-11 18:18:31+00:00,right_censored,
I80-0014,,2017-05-12 21:40:42+00:00,1,False,2017-05-12 21:40:42+00:00,right_censored,
I80-0015,,2017-05-17 21:25:48+00:00,1,False,2017-05-17 21:25:48+00:00,right_censored,
I80-0016,,2017-05-22 19:52:58+00:00,1,False,2017-05-22 19:52:58+00:00,right_censored,
I80-0017,,2017-10-02 13:33:46+00:00,1,False,2017-10-02 13:33:46+00:00,right_censored,
I80-0018,,2017-10-03 14:44:28+00:00,1,False,2017-10-03 14:44:28+00:00,right_censored,
I80-0019,,2017-11-28 16:10:15+00:00,1,False,2017-11-28 16:10:15+00:00,right_censored,
I80-0020,,2017-12-07 01:09:52+00:00,1,False,2017-12-07 01:09:52+00:00,right_censored,
I80-0021,,2018-01-13 16:13:17+00:00,2,False,2018-01-13 16:33:40+00:00,right_censored,
I80-0022,2018-01-30 17:40:00+00:00,2018-01-30 16:40:31+00:00,1,True,,observed,0.9913888888888889
I80-0023,,2018-01-31 19:01:20+00:00,3,False,2018-02-01 15:07:11+00:00,right_censored,
I80-0024,,2018-02-07 20:29:06+00:00,1,False,2018-02-07 20:29:06+00:00,right_censored,
I80-0025,2018-02-19 03:00:00+00:00,2018-02-19 01:36:13+00:00,2,True,,observed,1.396388888888889
I80-0026,2018-03-01 22:38:00+00:00,2018-03-01 19:19:17+00:00,2,True,,observed,3.3119444444444444
I80-0027,,2018-03-01 22:38:48+00:00,7,False,2018-03-03 14:31:02+00:00,right_censored,
I80-0028,2018-03-03 09:45:00+00:00,2018-03-03 03:58:45+00:00,2,True,,observed,5.770833333333333
I80-0029,,2018-03-12 18:56:36+00:00,1,False,2018-03-12 18:56:36+00:00,right_censored,
I80-0030,,2018-03-13 16:54:54+00:00,1,False,2018-03-13 16:54:54+00:00,right_censored,
I80-0031,2018-03-14 19:46:00+00:00,2018-03-14 17:49:24+00:00,1,True,,observed,1.9433333333333334
I80-0032,2018-03-15 23:43:00+00:00,2018-03-15 20:59:25+00:00,2,True,,observed,2.7263888888888888
I80-0033,,2018-03-16 03:31:30+00:00,1,False,2018-03-16 03:31:30+00:00,right_censored,
I80-0034,2018-03-16 23:53:00+00:00,2018-03-16 15:15:16+00:00,4,True,,observed,8.62888888888889
