date,temperature_2m,cloud_cover,cloud_cover_low,cloud_cover_high,cloud_cover_mid,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,precipitation,apparent_temperature,dew_point_2m,relative_humidity_2m,is_day,snow_depth_water_equivalent,sunshine_duration,closure,year,month,winter,closure_start
2017-02-21 00:00:00,33.08,99.0,97.0,35.0,77.0,217.44579,218.21107,44.518547,26.76185,0.0039370134,0.85433066,7.841208,75.0,1011.0,776.0993,0.12598425,18.019073,32.45,97.5024,0.0,,0.0,0.0,2017,2,2016-2017,0
2017-02-21 01:00:00,30.56,100.0,93.0,95.0,53.0,232.39394,232.49579,41.790607,24.250565,0.0039370134,0.992126,7.841208,75.0,1014.3,777.6012,0.1456693,16.067797,29.119999,94.3091,0.0,,0.0,0.0,2017,2,2016-2017,0
2017-02-21 02:00:00,30.2,97.0,80.0,83.0,78.0,216.61449,216.14214,40.13218,24.653728,0.0,0.5787401,7.8740163,75.0,1014.7,777.7597,0.08267716,15.426519,28.31,92.57881,0.0,,0.0,0.0,2017,2,2016-2017,0
2017-02-21 03:00:00,30.2,100.0,100.0,86.0,99.0,216.73291,216.86998,37.402744,22.369999,0.0,0.7440945,7.9068246,75.0,1014.7,777.7597,0.106299214,16.539806,29.39,96.75725,0.0,,0.0,0.0,2017,2,2016-2017,0
2017-02-21 04:00:00,29.03,100.0,99.0,93.0,92.0,223.61638,223.05852,32.75277,18.675936,0.0,0.85433066,7.9068246,75.0,1016.5,778.6558,0.122047246,16.63864,27.23,92.883934,0.0,,0.0,0.0,2017,2,2016-2017,0
2017-02-21 05:00:00,28.85,100.0,100.0,95.0,100.0,229.08571,217.50421,22.201591,12.125282,0.0,1.2401575,7.939633,75.0,1016.9,778.8876,0.17716536,19.320433,27.95,96.38075,0.0,,0.0,0.0,2017,2,2016-2017,0
2017-02-21 06:00:00,28.22,100.0,100.0,100.0,90.0,231.5321,219.6678,20.856953,11.915043,0.0,1.4606299,7.972441,75.0,1017.6,779.1622,0.20866142,18.743303,27.68,97.80796,0.0,,0.0,0.0,2017,2,2016-2017,0
2017-02-21 07:00:00,27.68,100.0,100.0,0.0,90.0,237.82138,234.11777,23.522562,12.976528,0.0,1.5708661,8.00525,75.0,1018.2,779.3968,0.22440945,17.592453,26.42,94.93935,1.0,,0.0,0.0,2017,2,2016-2017,0
2017-02-21 08:00:00,27.68,100.0,84.0,0.0,100.0,237.89377,233.49846,26.937046,13.914429,0.0,0.96456695,8.038058,75.0,1019.8,780.6215,0.13779528,16.998346,24.8,88.7676,1.0,,0.0,0.0,2017,2,2016-2017,0
2017-02-21 09:00:00,27.32,99.0,80.0,0.0,99.0,239.43924,237.46495,27.277645,15.389845,0.0,0.6889764,8.070867,75.0,1020.6,781.08325,0.098425195,16.004322,24.71,89.754616,1.0,,0.0,0.0,2017,2,2016-2017,0
