,snowfall,snowfall,precipitation,precipitation,wind_speed_100m,wind_speed_100m,temperature_2m,temperature_2m
,mean,count,mean,count,mean,count,mean,count
hours_to_closure,,,,,,,,
-48,0.093588870964467,197,0.014169231647208121,197,13.884974185786803,197,32.43446707817259,197
-47,0.08935814803030304,198,0.013600572919191917,198,14.003217724242425,198,32.96863638888889,198
-46,0.08967184804568527,197,0.013889444294416242,197,14.235925383248732,197,33.194670035532994,197
-45,0.0901675742051282,195,0.014031900064102565,195,14.520030333846154,195,33.18015383076923,195
-44,0.09561304908163266,196,0.014944560969387753,196,14.520076159693877,196,32.75030609693877,196
-43,0.08897238101522843,197,0.014508973378172588,197,14.785601872081218,197,32.25309643147208,197
-42,0.09158085917948718,195,0.014072279628205127,195,14.664370036410256,195,31.598923035897435,195
-41,0.10320584727040816,196,0.015687771405612245,196,14.410991421428571,196,31.03938770918367,196
-40,0.109133857075,200,0.0163188978075,200,14.1709166235,200,30.38450005,200
-39,0.1061997918939394,198,0.016603038734848485,198,14.184496993434344,198,29.870000005050503,198
-38,0.10954378070351758,199,0.017271396567839194,199,14.15038974120603,199,29.26879393969849,199
-37,0.11202755592500001,200,0.017342519905,200,14.376073873000001,200,28.652449995,200
-36,0.12551648514851485,202,0.01878849315841584,202,14.5647649490099,202,28.593811886138614,202
-35,0.11536976705882353,204,0.017349853691176472,204,14.396833195588234,204,28.680588235294117,204
-34,0.12090859651960784,204,0.01816041387254902,204,14.264178496078433,204,28.943970568627453,204
-33,0.13955148894607844,204,0.02070788969852941,204,14.262669162745098,204,29.106323534313724,204
-32,0.16724563588235294,204,0.024818589154411763,204,14.38637878137255,204,29.224117602941178,204
-31,0.18162089124390246,205,0.027021317882926832,205,14.384986005365855,205,29.147658516585366,205
-30,0.1756057629468599,207,0.026094564666666663,207,14.697922843236714,207,29.523043550724637,207
-29,0.16049096553921569,204,0.024239617433823527,204,14.952843679803923,204,30.199558853431373,204
-28,0.15683365490338164,207,0.024192628466183575,207,14.925859133816425,207,30.560000057971017,207
-27,0.16812342009569378,209,0.025524620923444978,209,14.920950660287081,209,30.86186604784689,209
-26,0.18829823188995218,209,0.02893418268181818,209,14.931700816746412,209,30.718899535885168,209
-25,0.16652983203791472,211,0.02524536353554502,211,15.303463790521327,211,31.04881514549763,211
-24,0.16104414312796209,211,0.025245363639810427,211,15.656969772037915,211,31.3563507535545,211
-23,0.18398580361502345,213,0.02876049005399061,213,15.680059746948356,213,31.67633799061033,213
-22,0.19884715241626794,209,0.03143955129665072,209,15.883111914066985,209,31.85574167464115,209
-21,0.20029762980861243,209,0.03196699759808612,209,16.06594937894737,209,31.88588520095694,209
-20,0.19007642019607843,204,0.03056970883823529,204,16.67782127843137,204,31.872058897058825,204
-19,0.17282106857142857,203,0.028489973633004925,203,16.464724414285715,203,31.473743837438423,203
-18,0.1963917108252427,206,0.03180185040291262,206,16.61009769368932,206,30.86888341747573,206
-17,0.1923703496551724,203,0.030662116179802957,203,16.788522347783253,203,30.19955663546798,203
-16,0.1792024112437811,201,0.029165198146766172,201,16.792809409950248,201,29.492985059701493,201
-15,0.19629071674019608,204,0.031785549531862745,204,16.633832581862745,204,28.64176468137255,204
-14,0.19088698154411762,204,0.0305890078627451,204,16.607600701960784,204,28.242941210784313,204
-13,0.20703568741293532,201,0.03282798660447761,201,16.735749621393033,201,28.04985071641791,201
-12,0.2136169515920398,201,0.033102206099502485,201,16.557079769651743,201,27.864029805970148,201
-11,0.21413385585,200,0.03320866208,200,16.4813807504,200,27.720049946499998,200
-10,0.22656589635678392,199,0.034344953836683415,199,16.550169014070352,199,27.817035221105524,199
-9,0.2534887288861386,202,0.037986279725247526,202,16.963089104455445,202,27.992326726237625,202
-8,0.25255611161691544,201,0.03829278849253731,201,16.80966589800995,201,28.21328366666667,201
-7,0.25802840389705883,204,0.038327929955882356,204,16.844757967156863,204,28.275588279411764,204
-6,0.27061647402439026,205,0.03994622702439025,205,16.645471773170733,205,28.50580487317073,205
-5,0.28996918328502413,207,0.04267944840821256,207,16.51472467922705,207,28.576086978260868,207
-4,0.3038217762682927,205,0.04524678358048781,205,16.327947077560978,205,28.92068293658537,205
-3,0.3019156145522388,201,0.04424726824129353,201,15.950476619402986,201,29.073880606965176,201
-2,0.29657459705583755,197,0.04450617581725888,197,15.630489690355331,197,29.178477131979694,197
-1,0.3215691742346939,196,0.047244094885204084,196,15.487275345612245,196,29.209540825510203,196
0,0.34780224770042195,237,0.050815642542194096,237,15.453506401181436,237,28.755063270042193,237
